Material,Density (g/ccm),Hardness (HB),Yield strength (Mpa),Elongation (%),Tensile modulus (Gpa),Shear modulus (Gpa),Shear strength (Mpa),Specific heat (J/kg.K),Melting temperature (K),,,,
AA7075-T651,2.8,150,503,11,71,26.9,331,960,750,,,,
AA7075-T73,2.8,135,434,13,71,26.9,300,960,750,,,,
Alclad7075-O,2.8,60,97,17,71,26.9,152,960,750,,,,
Alclad 7075-T6,2.8,150,462,11,71,26.9,317,960,750,,,,
Alclad7075-T651,2.8,150,462,11,71,26.9,317,960,750,,,,
AA7178-O,2.83,60,96.5,16,71.7,27.5,135,856,750,,,,
AA7178-T6,2.83,160,540,11,71.7,27.5,305,856,750,,,,
AA7178-T651,2.83,160,540,11,71.7,27.5,305,856,750,,,,
AA7178-T76,2.83,152,505,11,71.7,27.5,295,856,750,,,,
AA7178-T7651,2.83,152,505,11,71.7,27.5,295,856,750,,,,
Ti-6Al-4V,4.43,334,880,14,113.8,44,550,526,1878,,,,
Inconel617,8.36,170,340,62,211.0,81.4,620,419,1380,,,,
Ti-6Al-2Sn-4Zr-2Mo,4.54,304,860,15,113.8,43.1,660,460,1700,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
